,Unnamed: 0,Url,Title,Company,Location,Last_Updated,Rent,Unit,Availability,Phone,AverageRating,# of Reviwer,WalkScore,WalkScore_desc,TransitScore,TransitScore_desc,Rent_by_room,Studio,1 Bed,2 Beds,3 Beds,4 Beds,lat,lng
56,56,https://www.apartments.com/holiday-park-apartments-and-townhomes-pittsburgh-pa/l6dpyve/,Holiday Park Apartments and Townhomes,,"80 Sandune Dr, Pittsburgh, PA 15239",1 day Ago,"$787 - 1,566",Studio - 3 Bed,Available Now,844-876-0498,4.0,3 Renter Reviews,40,Car-Dependent,21,Minimal Transit,"{'Studio': '$787', '1 Bed': '$796 – 838', '2 Beds': '$821 – 1,146', '3 Beds': '$1,007 – 1,566'}",787.0,817.0,983.5,1286.5,,40.46329619999999,-79.7042546
57,57,https://www.apartments.com/forbes-management-apartments-leasing-office-pittsburgh-pa/b07k4dc/,"Forbes Management Apartments, Leasing Office",,"6230 Fifth Ave, Pittsburgh, PA 15232",2 days Ago,"$855 - 2,340",1-4 Bed,Available 07/01/20,844-352-6804,4.0,,97,Walker's Paradise,72,Excellent Transit,"{'1 Bed': '$855 – 1,245', '2 Beds': '$1,349 – 2,069', '4 Beds': '$2,340'}",,1050.0,1709.0,,2340.0,40.4525162,-79.9211432
58,58,https://www.apartments.com/oak-hill-apartments-pittsburgh-pa/m4pz40l/,Oak Hill Apartments,Corcoran Jennison Management,"475 Garner Ct, Pittsburgh, PA 15213",6 days Ago,"$1,100 - 1,650",Studio - 2 Bed,Available Now,844-209-9199,4.9,4 Renter Reviews,70,Very Walkable,72,Excellent Transit,"{'Studio': '$1,100', '1 Bed': '$1,225 – 1,240', '2 Beds': '$1,525 – 1,650'}",1100.0,1232.5,1587.5,,,40.4428291,-79.9707202
59,59,https://www.apartments.com/sk-management-pittsburgh-pa/m11s1dl/,Sk Management,,"795-10 Pine Valley Dr, Pittsburgh, PA 15239",1 wk Ago,"$645 - 1,055",1-3 Bed,Available Now,844-624-7513,3.0,,30,Car-Dependent,21,Minimal Transit,"{'1 Bed': '$645', '2 Beds': '$670 – 1,055', '3 Beds': '$790 – 905'}",,645.0,862.5,847.5,,40.45567610000001,-79.7115443
60,60,https://www.apartments.com/castle-ridge-apartments-pittsburgh-pa/rn8xhw1/,Castle Ridge Apartments,Phillips & Associates Development Co.,"850 Baldwin St, Pittsburgh, PA 15234",1 wk Ago,"$1,100 - 1,590",1-2 Bed,Available Now,844-253-6725,5.0,1 Renter Reviews,43,Car-Dependent,53,Good Transit,"{'1 Bed': '$1,100', '2 Beds': '$1,375 – 1,590'}",,1100.0,1482.5,,,40.36523740000001,-80.0333635
61,61,https://www.apartments.com/kaufmanns-grand-on-fifth-avenue-pittsburgh-pa/db3d2xh/,Kaufmann's Grand on Fifth Avenue,Core Realty,"400 5th Ave, Pittsburgh, PA 15219",2 wks Ago,"$1,596 - 2,446",1-2 Bed,Available Now,844-459-8552,5.0,2 Renter Reviews,99,Walker's Paradise,100,Rider's Paradise,"{'1 Bed': '$1,596 – 1,868', '2 Beds': '$2,446'}",,1732.0,2446.0,,,40.4395075,-79.99831859999999
62,62,https://www.apartments.com/emerald-gardens-pittsburgh-pa/2gw33r9/,Emerald Gardens,Tryko Partners,"2400 Village Rd, Pittsburgh, PA 15205",2 wks Ago,"$895 - 1,200",1-3 Bed,Available Now,412-533-5758,4.9,14 Renter Reviews,17,Car-Dependent,41,Some Transit,"{'1 Bed': '$895 – 950', '2 Beds': '$980 – 1,175', '3 Beds': '$1,115 – 1,200'}",,922.5,1077.5,1157.5,,40.44904750000001,-80.07662049999999
63,63,https://www.apartments.com/crossroad-towers-pittsburgh-pa/knydk2c/,Crossroad Towers,A. R. Building Company,"200 Sophia Ave, Pittsburgh, PA 15236",2 wks Ago,"$765 - 1,335",Studio - 2 Bed,Available Soon,844-497-9386,5.0,,53,Somewhat Walkable,42,Some Transit,"{'Studio': '$765', '1 Bed': '$1,025', '2 Beds': '$1,335'}",765.0,1025.0,1335.0,,,40.3418916,-79.96914699999999
64,64,https://www.apartments.com/briaridge-apartments-pittsburgh-pa/0txlbx2/,Briaridge Apartments,Catranel Realty,"100 Briaridge Dr, Pittsburgh, PA 15145",2 wks Ago,$695 - 975,1-2 Bed,Available Soon,877-861-1365,4.0,2 Renter Reviews,32,Car-Dependent,18,Minimal Transit,"{'1 Bed': '$695 – 775', '2 Beds': '$850 – 975'}",,735.0,912.5,,,40.4265976,-79.8336315
65,65,https://www.apartments.com/kennedy-highlands-mckees-rocks-pa/3r71yrf/,Kennedy Highlands,A. R. Building Company,"200 Adams Dr, Mckees Rocks, PA 15136",New,"$960 - 1,695",1-3 Bed,Available Now,412-587-4923,5.0,5 Renter Reviews,39,Car-Dependent,33,Some Transit,"{'1 Bed': '$960 – 1,220', '2 Beds': '$1,240 – 1,620', '3 Beds': '$1,670 – 1,695'}",,1090.0,1430.0,1682.5,,40.4652392,-80.0989361
66,66,https://www.apartments.com/bryn-mawr-pittsburgh-pa/4zpghnk/,Bryn Mawr,McKinney Properties,"100 Bryn Mawr Ct, Pittsburgh, PA 15221",4 hrs Ago,"$930 - 1,399",1-2 Bed,Available 03/19/20,888-863-7811,4.0,,15,Car-Dependent,38,Some Transit,"{'1 Bed': '$930 – 1,040', '2 Beds': '$1,296 – 1,399'}",,985.0,1347.5,,,40.4346274,-79.86536799999999
67,67,https://www.apartments.com/shadyside-commons-pittsburgh-pa/f0n2tvs/,Shadyside Commons,Reinhold Residential,"401 Amberson Ave, Pittsburgh, PA 15232",New,"$1,645 - 2,135",1-2 Bed,Available Now,412-208-4328,5.0,,75,Very Walkable,73,Excellent Transit,"{'1 Bed': '$1,645 – 2,135', '2 Beds': 'Call for Rent'}",,1890.0,,,,40.4531841,-79.9408445
68,68,https://www.apartments.com/the-cascades-apartments-townhomes-pittsburgh-pa/11c4bh4/,The Cascades Apartments & Townhomes,Morgan Properties,"100 E West Dr, Pittsburgh, PA 15237",New,"$835 - 1,549",1-2 Bed,Available Now,844-476-3520,3.9,5 Renter Reviews,2,Car-Dependent,42,Some Transit,"{'1 Bed': '$835 – 1,131', '2 Beds': '$1,090 – 1,549'}",,983.0,1319.5,,,40.5068471,-80.0210108
69,69,https://www.apartments.com/the-gateway-at-summerset-pittsburgh-pa/dhw10rh/,The Gateway at Summerset,Pennrose Management Company,"1876 Parkview Blvd, Pittsburgh, PA 15217",New,"$1,612 - 2,804",1-2 Bed,Available 03/21/20,844-228-9323,4.9,7 Renter Reviews,46,Car-Dependent,50,Good Transit,"{'1 Bed': '$1,612 – 2,074', '2 Beds': '$1,987 – 2,804'}",,1843.0,2395.5,,,40.4147379,-79.9215705
70,70,https://www.apartments.com/city-vista-pittsburgh-pa/f57j5yv/,City Vista,"Preferred Apartment Communities, Inc.","325 Elizabeth Dr, Pittsburgh, PA 15220",4 hrs Ago,"$1,239 - 5,051",Studio - 3 Bed,Available Now,877-893-2069,4.7,19 Renter Reviews,19,Car-Dependent,33,Some Transit,"{'Studio': '$1,239 – 2,758', '1 Bed': '$1,289 – 3,099', '2 Beds': '$1,394 – 2,755', '3 Beds': '$1,818 – 5,051'}",1998.5,2194.0,2074.5,3434.5,,40.4269824,-80.0362483
71,71,https://www.apartments.com/bakery-living-orange-pittsburgh-pa/3qd9wgf/,Bakery Living Orange,Walnut Capital,"6350 Penn Ave, Pittsburgh, PA 15206",New,"$1,330 - 3,970",Studio - 2 Bed,Available Now,844-814-2588,5.0,2 Renter Reviews,81,Very Walkable,70,Excellent Transit,"{'Studio': '$1,330 – 1,860', '1 Bed': '$1,890 – 2,850', '2 Beds': '$2,240 – 3,970'}",1595.0,2370.0,3105.0,,,40.458585,-79.9190303
72,72,https://www.apartments.com/white-oaks-pittsburgh-pa/164zln7/,White Oaks,Prudential Realty Company,"600 Stevens Dr, Pittsburgh, PA 15237",New,$717 - 937,1-2 Bed,Available Now,844-828-0716,4.0,1 Renter Reviews,26,Car-Dependent,30,Some Transit,"{'1 Bed': '$717 – 902', '2 Beds': '$847 – 937'}",,809.5,892.0,,,40.509175,-80.001015
73,73,https://www.apartments.com/nineteen-north-apartments-townhomes-pittsburgh-pa/g7clc8y/,Nineteen North Apartments & Townhomes,Morgan Properties,"1050 Nineteen North Dr, Pittsburgh, PA 15237",4 hrs Ago,"$680 - 2,219",1-3 Bed,Available Now,844-278-7061,4.6,9 Renter Reviews,15,Car-Dependent,0,Minimal Transit,"{'1 Bed': '$680 – 1,074', '2 Beds': '$1,050 – 1,649', '3 Beds': '$1,745 – 2,219'}",,877.0,1349.5,1982.0,,40.56715,-80.03975020000001
74,74,https://www.apartments.com/the-yards-at-3-crossings-pittsburgh-pa/qeqhmgz/,The Yards at 3 Crossings,Oxford Development Company,"2645 Railroad St, Pittsburgh, PA 15222",4 hrs Ago,"$1,570 - 3,729",Studio - 2 Bed,Available Now,844-750-1008,5.0,,75,Very Walkable,59,Good Transit,"{'Studio': '$1,570 – 2,106', '1 Bed': '$1,905 – 2,938', '2 Beds': '$2,695 – 3,729'}",1838.0,2421.5,3212.0,,,40.4572262,-79.97994039999999
75,75,https://www.apartments.com/the-foundry-at-41st-pittsburgh-pa/3n08zge/,The Foundry at 41st,Walnut Capital,"4107 Willow St, Pittsburgh, PA 15201",New,"$1,348 - 3,058",Studio - 2 Bed,Available Now,412-437-2173,5.0,,75,Very Walkable,50,Good Transit,"{'Studio': '$1,348 – 1,913', '1 Bed': '$1,993 – 2,908', '2 Beds': '$2,303 – 3,058'}",1630.5,2450.5,2680.5,,,40.4722104,-79.96433979999999
76,76,https://www.apartments.com/park-west-205-apartment-homes-pittsburgh-pa/c78f3bf/,Park West 205 Apartment Homes,Morgan Properties,"1000 Park West Place, Pittsburgh, PA 15205",New,"$1,380 - 2,930",1-3 Bed,Available Now,888-783-7919,5.0,1 Renter Reviews,30,Car-Dependent,0,Minimal Transit,"{'1 Bed': '$1,380 – 2,008', '2 Beds': '$1,640 – 2,473', '3 Beds': '$2,215 – 2,930'}",,1694.0,2056.5,2572.5,,40.4322656,-80.1409734
77,77,https://www.apartments.com/fifth-avenue-school-lofts-pittsburgh-pa/0jb5cg0/,Fifth Avenue School Lofts,Steiner Realty,"1800 Fifth Ave, Pittsburgh, PA 15219",New,"$1,220 - 2,200",1-2 Bed,Available Now,844-202-0680,5.0,1 Renter Reviews,84,Very Walkable,81,Excellent Transit,"{'1 Bed': '$1,220 – 1,400', '2 Beds': '$1,580 – 2,200'}",,1310.0,1890.0,,,40.4382212,-79.9806083
78,78,https://www.apartments.com/eighth-and-penn-pittsburgh-pa/bmw0rqb/,Eighth and Penn,Trek Development Group,"711-713 Penn Ave, Pittsburgh, PA 15222",9 hrs Ago,"$1,280 - 3,170",Studio - 2 Bed,Available Now,412-748-1949,5.0,,99,Walker's Paradise,100,Rider's Paradise,"{'Studio': '$1,280 – 2,100', '1 Bed': '$1,315 – 2,100', '2 Beds': '$2,000 – 3,170'}",1690.0,1707.5,2585.0,,,40.4436105,-79.9997975
79,79,https://www.apartments.com/cosmopolitan-apartment-homes-pittsburgh-pa/zrfq8ex/,Cosmopolitan Apartment Homes,AION Partners,"3001 McKnight East Dr, Pittsburgh, PA 15237",9 hrs Ago,"$1,300 - 2,265",1-2 Bed,Available 03/11/20,412-499-3576,5.0,2 Renter Reviews,48,Car-Dependent,33,Some Transit,"{'1 Bed': '$1,300 – 1,990', '2 Beds': '$1,620 – 2,265'}",,1645.0,1942.5,,,40.5373247,-80.0077699
80,80,https://www.apartments.com/the-encore-on-7th-apartments-pittsburgh-pa/emw3glm/,The Encore on 7th Apartments,Lincoln Property Company,"100 7th St, Pittsburgh, PA 15222",New,"$1,715 - 2,353",1-2 Bed,Available 03/09/20,888-843-1690,5.0,28 Renter Reviews,99,Walker's Paradise,100,Rider's Paradise,"{'1 Bed': '$1,715 – 2,353', '2 Beds': 'Call for Rent'}",,2034.0,,,,40.4441683,-80.0009991
81,81,https://www.apartments.com/river-vue-pittsburgh-pa/6ee0v3r/,River Vue,Millcraft Investments,"300 Liberty Ave, Pittsburgh, PA 15222",New,"$1,320 - 5,995",Studio - 3 Bed,Available Now,412-345-8286,5.0,2 Renter Reviews,93,Walker's Paradise,100,Rider's Paradise,"{'Studio': '$1,320 – 1,770', '1 Bed': '$1,370 – 2,775', '2 Beds': '$2,375 – 4,995', '3 Beds': '$5,995'}",1545.0,2072.5,3685.0,5995.0,,40.4405619,-80.00619739999999
82,82,https://www.apartments.com/schenley-apartments-pittsburgh-pa/h2wzm10/,Schenley Apartments,PMC Property Group,"4101 Bigelow Blvd, Pittsburgh, PA 15213",2 days Ago,"$2,150 - 2,650",2 Bed,Available Now,412-307-7720,5.0,1 Renter Reviews,86,Very Walkable,71,Excellent Transit,"{'2 Beds': '$2,150 – 2,650'}",,,2400.0,,,40.4503127,-79.9544623
83,83,https://www.apartments.com/the-residences-at-the-historic-alcoa-building-pittsburgh-pa/be0c4j8/,The Residences at the Historic Alcoa Building,PMC Property Group,"611 William Penn Pl, Pittsburgh, PA 15219",5 days Ago,"$1,425 - 3,750",1-2 Bed,Available Now,412-620-6372,5.0,,98,Walker's Paradise,100,Rider's Paradise,"{'1 Bed': '$1,425 – 1,550', '2 Beds': '$1,995 – 3,750'}",,1487.5,2872.5,,,40.4414818,-79.9965325
84,84,https://www.apartments.com/bower-hill-iii-pittsburgh-pa/7g9bhqz/,Bower Hill III,DBC Group,"1170 Bower Hill Rd, Pittsburgh, PA 15243",5 days Ago,"$850 - 1,575",1-3 Bed,Available Now,412-249-9087,4.9,7 Renter Reviews,18,Car-Dependent,33,Some Transit,"{'1 Bed': '$850 – 895', '2 Beds': '$1,325 – 1,395', '3 Beds': '$1,500 – 1,575'}",,872.5,1360.0,1537.5,,40.3767735,-80.0724522
85,85,https://www.apartments.com/market-square-place-pittsburgh-pa/kzem0mc/,Market Square Place,Millcraft Investments,"211 Forbes Ave, Pittsburgh, PA 15222",1 wk Ago,"$1,390 - 3,725",Studio - 2 Bed,Available Now,844-885-7665,5.0,1 Renter Reviews,99,Walker's Paradise,100,Rider's Paradise,"{'Studio': '$1,555 – 2,800', '1 Bed': '$1,390 – 2,728', '2 Beds': '$2,060 – 3,725'}",2177.5,2059.0,2892.5,,,40.4406566,-80.00189519999999
86,86,https://www.apartments.com/alcoma-on-the-green-pittsburgh-pa/rz7e4n1/,Alcoma on the Green,DBC Group,"225 Alcoma Blvd, Pittsburgh, PA 15235",1 wk Ago,$675 - 835,1-2 Bed,Available Now,412-423-5108,4.0,,12,Car-Dependent,28,Some Transit,"{'1 Bed': '$675', '2 Beds': '$810 – 835'}",,675.0,822.5,,,40.4852781,-79.80003789999999
87,87,https://www.apartments.com/one-on-centre-pittsburgh-pa/p2phsns/,,Greystar,"4500 Centre Ave, Pittsburgh, PA 15213",1 wk Ago,"$1,164 - 1,745",1-2 Bed,Available Now,412-533-2310,5.0,2 Renter Reviews,87,Very Walkable,71,Excellent Transit,"{'1 Bed': '$1,745', '2 Beds': '$1,164'}",,1745.0,1164.0,,,40.45128589999999,-79.9529762
88,88,https://www.apartments.com/century-building-pittsburgh-pa/4kyz3ej/,Century Building,Trek Development Group,"130 7th St, Pittsburgh, PA 15222",2 wks Ago,"$1,350 - 1,840",1-2 Bed,Available Soon,844-586-2302,5.0,3 Renter Reviews,99,Walker's Paradise,100,Rider's Paradise,"{'1 Bed': '$1,350', '2 Beds': '$1,805 – 1,840'}",,1350.0,1822.5,,,40.4436426,-80.0007217
89,89,https://www.apartments.com/aria-cultural-district-lofts-pittsburgh-pa/lrkw6fe/,Aria Cultural District Lofts,Aria Cultural District Lofts,"121 7th St, Pittsburgh, PA 15222",2 wks Ago,"$1,450 - 1,675",1 Bed,Available Soon,844-723-3301,5.0,,99,Walker's Paradise,100,Rider's Paradise,"{'1 Bed': '$1,450 – 1,675'}",,1562.5,,,,40.4440719,-80.0003438
90,90,https://www.apartments.com/lot-24-apartments-pittsburgh-pa/gd6mkey/,Lot 24 Apartments,"GMH Associates, Inc.","2404 Railroad St, Pittsburgh, PA 15222",2 wks Ago,"$1,571 - 2,384",1-2 Bed,Not Available,412-567-4141,5.0,,78,Very Walkable,60,Good Transit,"{'1 Bed': '$1,571 – 1,765', '2 Beds': '$2,227 – 2,384'}",,1668.0,2305.5,,,40.4548142,-79.9816445
91,91,https://www.apartments.com/930-penn-ave-pittsburgh-pa/b91lvx8/,930 Penn Ave,,"930 Penn Ave, Pittsburgh, PA 15222",2 wks Ago,"$2,560 - 3,000",2 Bed,Available Soon,844-855-0753,4.0,,98,Walker's Paradise,100,Rider's Paradise,"{'2 Beds': '$2,560 – 3,000'}",,,2780.0,,,40.4438464,-79.9968489
92,92,https://www.apartments.com/perrytown-place-apartments-pittsburgh-pa/bqx2848/,Perrytown Place Apartments,,"101 Highland Pines Dr, Pittsburgh, PA 15237",2 wks Ago,$715 - 895,Studio - 1 Bed,Available Soon,844-579-8731,4.0,,65,Somewhat Walkable,0,Minimal Transit,"{'Studio': '$715 – 780', '1 Bed': '$765 – 895'}",747.5,830.0,,,,40.5490859,-80.0381996
93,93,https://www.apartments.com/print-shop-lofts-pittsburgh-pa/56bvlsp/,Print Shop Lofts,"412Living, LLC","3010 Jane St, Pittsburgh, PA 15203",9 hrs Ago,"$1,385 - 2,300",1-3 Bed,,412-307-8268,5.0,,80,Very Walkable,48,Some Transit,"{'1 Bed': '$1,385 – 2,100', '2 Beds': '$1,800 – 2,300', '3 Beds': '$2,300'}",,1742.5,2050.0,2300.0,,40.4229692,-79.9647008
94,94,https://www.apartments.com/hamilton-place-pittsburgh-pa/tl3qth9/,Hamilton Place,A. R. Building Company,"100 Addie Ct, Pittsburgh, PA 15234",1 day Ago,"$1,055 - 1,375",1-2 Bed,,724-453-4240,,,41,Car-Dependent,53,Good Transit,"{'1 Bed': '$1,055 – 1,085', '2 Beds': '$1,250 – 1,375'}",,1070.0,1312.5,,,40.3634796,-80.0176544
95,95,https://www.apartments.com/3030-south-water-apartments-pittsburgh-pa/h7w8hz0/,3030 South Water Apartments,,"3030 S Water St, Pittsburgh, PA 15203",2 wks Ago,"$1,310 - 1,475",1 Bed,,412-499-3353,5.0,,60,Somewhat Walkable,52,Good Transit,"{'1 Bed': '$1,310 – 1,475'}",,1392.5,,,,40.42567160000001,-79.9606249
96,96,https://www.apartments.com/whitehall-place-pittsburgh-pa/0tgw3s1/,Whitehall Place,Drucker + Falk,"1553 Parkline Dr, Pittsburgh, PA 15227",New,$457 - 864,Studio - 3 Bed,,844-484-0950,2.9,9 Renter Reviews,26,Car-Dependent,37,Some Transit,"{'Studio': '$457 – 504', '1 Bed': '$550 – 638', '2 Beds': '$716 – 731', '3 Beds': '$777 – 864'}",480.5,594.0,723.5,820.5,,40.3657377,-79.9682278
97,97,https://www.apartments.com/the-docks-pittsburgh-pa/wjt971j/,The Docks,Berkshire,"501 Riverfront Dr, Pittsburgh, PA 15238",New,"$1,320 - 2,982",1-3 Bed,,844-278-3009,5.0,1 Renter Reviews,35,Car-Dependent,41,Some Transit,"{'1 Bed': '$1,320 – 2,206', '2 Beds': '$1,568 – 2,982', '3 Beds': 'Call for Rent'}",,1763.0,2275.0,,,40.4854322,-79.8752544
98,98,https://www.apartments.com/laurel-village-apartments-pittsburgh-pa/f2db0nv/,Laurel Village Apartments,Dreyfuss Management,"1000 Penn Center Blvd, Pittsburgh, PA 15235",New,"$940 - 1,220",Studio - 2 Bed,,412-357-5646,5.0,5 Renter Reviews,43,Car-Dependent,30,Some Transit,"{'Studio': 'Call for Rent', '1 Bed': '$940 – 1,010', '2 Beds': '$1,100 – 1,220'}",,975.0,1160.0,,,40.425973,-79.81295200000001
99,100,https://www.apartments.com/westpointe-apartment-homes-pittsburgh-pa/vgmf5zd/,Westpointe Apartment Homes,Morgan Properties,"2000 Westpointe Dr, Pittsburgh, PA 15205",New,"$890 - 1,508",1-3 Bed,,877-627-8509,4.9,4 Renter Reviews,40,Car-Dependent,34,Some Transit,"{'1 Bed': '$890 – 1,042', '2 Beds': '$1,050 – 1,335', '3 Beds': '$1,385 – 1,508'}",,966.0,1192.5,1446.5,,40.4510513,-80.15232189999999
100,101,https://www.apartments.com/bellevue-apartments-pittsburgh-pa/4y3r1ll/,Bellevue Apartments,Prudential Realty Company,"88 Sheridan Ave, Pittsburgh, PA 15202",5 hrs Ago,$635 - 710,1-2 Bed,,844-367-5260,4.0,,75,Very Walkable,41,Some Transit,"{'1 Bed': '$635 – 660', '2 Beds': '$710'}",,647.5,710.0,,,40.493676,-80.05720319999999
101,102,https://www.apartments.com/highland-park-club-apartments-pittsburgh-pa/qpr93dw/,Highland Park Club Apartments,,"1001 N Negley Ave, Pittsburgh, PA 15206",New,"$1,175 - 1,325",1-2 Bed,,412-436-5519,4.0,1 Renter Reviews,64,Somewhat Walkable,48,Some Transit,"{'1 Bed': '$1,175', '2 Beds': '$1,325'}",,1175.0,1325.0,,,40.4743474,-79.9251474
102,103,https://www.apartments.com/walnut-on-highland-pittsburgh-pa/nrrw3wp/,Walnut on Highland,Walnut Capital,"121 S Highland Ave, Pittsburgh, PA 15206",New,"$1,403 - 2,497",Studio - 3 Bed,,412-308-5384,5.0,,95,Walker's Paradise,70,Excellent Transit,"{'Studio': '$1,403 – 2,093', '1 Bed': '$1,547 – 2,497', '2 Beds': 'Call for Rent', '3 Beds': 'Call for Rent'}",1748.0,2022.0,,,,40.46065979999999,-79.9247889
103,104,https://www.apartments.com/club-at-north-hills-apartment-homes-pittsburgh-pa/m35tbqk/,Club at North Hills Apartment Homes,Morgan Properties,"700 Duncan Ave, Pittsburgh, PA 15237",New,"$975 - 2,089",1-2 Bed,,866-719-3405,4.8,17 Renter Reviews,52,Somewhat Walkable,32,Some Transit,"{'1 Bed': '$975 – 1,283', '2 Beds': '$1,425 – 2,089'}",,1129.0,1757.0,,,40.5676047,-80.01814
104,105,https://www.apartments.com/morrow-park-city-apartments-pittsburgh-pa/xpg1ngq/,Morrow Park City Apartments,Village Green,"5250 Liberty Ave, Pittsburgh, PA 15224",New,"$1,255 - 3,660",Studio - 3 Bed,,412-347-1025,5.0,1 Renter Reviews,90,Walker's Paradise,70,Excellent Transit,"{'Studio': '$1,255 – 1,675', '1 Bed': '$1,515 – 2,375', '2 Beds': '$2,030 – 3,090', '3 Beds': '$2,850 – 3,660'}",1465.0,1945.0,2560.0,3255.0,,40.4569038,-79.94064949999999
105,106,https://www.apartments.com/hot-metal-flats-pittsburgh-pa/bgv9178/,Hot Metal Flats,Walnut Capital,"2915 Sidney St, Pittsburgh, PA 15203",4 hrs Ago,"$1,302 - 3,112",Studio - 2 Bed,,412-419-1366,5.0,,72,Very Walkable,58,Good Transit,"{'Studio': '$1,302 – 1,747', '1 Bed': '$1,632 – 2,377', '2 Beds': '$2,212 – 3,112'}",1524.5,2004.5,2662.0,,,40.426427,-79.9625042
106,107,https://www.apartments.com/coda-on-centre-pittsburgh-pa/y9dvdqv/,Coda on Centre,Oxford Development Company,"5765 Centre Ave, Pittsburgh, PA 15206",New,"$1,390 - 4,709",Studio - 2 Bed,,844-845-4811,5.0,,94,Walker's Paradise,71,Excellent Transit,"{'Studio': '$1,390 – 2,581', '1 Bed': '$1,615 – 3,640', '2 Beds': '$2,600 – 4,709'}",1985.5,2627.5,3654.5,,,40.4581623,-79.9320418
107,108,https://www.apartments.com/highland-village-pittsburgh-pa/y6kp5mt/,Highland Village,Walnut Capital,"450 Highland Ave, Pittsburgh, PA 15229",New,"$1,835 - 3,255",2-3 Bed,,844-874-5873,5.0,,8,Car-Dependent,29,Some Transit,"{'2 Beds': '$1,835 – 2,995', '3 Beds': '$2,090 – 3,255'}",,,2415.0,2672.5,,40.5249877,-80.0449024
108,109,https://www.apartments.com/highland-plaza-apartments-pittsburgh-pa/8nr7t31/,Highland Plaza Apartments,,"301 S Highland Ave, Pittsburgh, PA 15206",7 hrs Ago,"$1,300 - 2,000",1-3 Bed,,844-661-9858,4.0,2 Renter Reviews,93,Walker's Paradise,71,Excellent Transit,"{'1 Bed': '$1,300', '2 Beds': '$1,480 – 1,800', '3 Beds': '$2,000'}",,1300.0,1640.0,2000.0,,40.4570358,-79.924866
109,110,https://www.apartments.com/governors-ridge-apartments-townhomes-pittsburgh-pa/hgp33k0/,Governors Ridge Apartments & Townhomes,Morgan Properties,"112 Hilands Pl, Pittsburgh, PA 15237",4 hrs Ago,"$890 - 1,251",2-3 Bed,,844-304-1892,3.9,5 Renter Reviews,48,Car-Dependent,33,Some Transit,"{'2 Beds': '$890 – 1,251', '3 Beds': 'Call for Rent'}",,,1070.5,,,40.5164044,-80.0027231
110,111,https://www.apartments.com/morgan-at-north-shore-pittsburgh-pa/5bgqxtq/,Morgan at North Shore,,"100 Anderson St, Pittsburgh, PA 15212",New,"$1,360 - 2,205",1-2 Bed,,888-353-5443,5.0,7 Renter Reviews,90,Walker's Paradise,94,Rider's Paradise,"{'1 Bed': '$1,360 – 1,596', '2 Beds': '$1,805 – 2,205'}",,1478.0,2005.0,,,40.4483913,-79.9998535
111,112,https://www.apartments.com/cliffside-manor-apartments-pittsburgh-pa/wgqlw2l/,Cliffside Manor Apartments,,"200 Cliffside Manor Dr, Pittsburgh, PA 15202",9 hrs Ago,$800,1 Bed,,844-264-3671,4.0,9 Renter Reviews,41,Car-Dependent,28,Some Transit,{'1 Bed': '$800'},,800.0,,,,40.5076751,-80.09373540000001
112,113,https://www.apartments.com/the-rockwel-rockwel-realty-leasing-pittsburgh-pa/8bj3yk3/,The Rockwel - Rockwel Realty Leasing,Rockwel Realty,"430 Shady Ave, Pittsburgh, PA 15206",New,"$1,395 - 2,500",1-2 Bed,,844-845-8849,5.0,1 Renter Reviews,91,Walker's Paradise,70,Excellent Transit,"{'1 Bed': '$1,595 – 1,695', '2 Beds': '$1,395 – 2,500'}",,1645.0,1947.5,,,40.45485679999999,-79.92230219999999
113,114,https://www.apartments.com/the-royal-plaza-rockwel-realty-leasing-pittsburgh-pa/3s5lycg/,The Royal Plaza Rockwel Realty Leasing,Rockwel Realty,"5506 5th Ave, Pittsburgh, PA 15232",New,"$1,350 - 1,850",2-3 Bed,,844-219-2318,4.0,,87,Very Walkable,70,Excellent Transit,"{'2 Beds': '$1,350 – 1,550', '3 Beds': '$1,850'}",,,1450.0,1850.0,,40.4487073,-79.9319359
114,115,https://www.apartments.com/eastside-bond-pittsburgh-pa/cj0pksg/,Eastside Bond,McKinney Properties,"6105 Spirit St, Pittsburgh, PA 15206",New,"$1,468 - 3,823",Studio - 2 Bed,,844-378-8494,5.0,,95,Walker's Paradise,71,Excellent Transit,"{'Studio': '$1,468 – 1,616', '1 Bed': '$1,719 – 3,239', '2 Beds': '$2,228 – 3,823'}",1542.0,2479.0,3025.5,,,40.459883,-79.923014
115,116,https://www.apartments.com/crawford-square-apartments-pittsburgh-pa/q5w7s4y/,Crawford Square Apartments,McCormack Baron Salazar,"510 Protectory Pl, Pittsburgh, PA 15219",1 day Ago,"$1,160 - 2,050",1-3 Bed,,412-567-5423,5.0,,89,Very Walkable,91,Rider's Paradise,"{'1 Bed': '$1,160 – 1,225', '2 Beds': '$1,325 – 1,795', '3 Beds': '$1,860 – 2,050'}",,1192.5,1560.0,1955.0,,40.4420597,-79.9851619
116,117,https://www.apartments.com/grandview-pointe-apartments-pittsburgh-pa/5k0yx4p/,Grandview Pointe Apartments,McKinney Properties,"1411 Grandview Ave, Pittsburgh, PA 15211",1 day Ago,"$1,505 - 2,363",1-2 Bed,,877-340-0934,4.9,3 Renter Reviews,56,Somewhat Walkable,69,Good Transit,"{'1 Bed': '$1,505 – 1,892', '2 Beds': '$1,533 – 2,363'}",,1698.5,1948.0,,,40.4386441,-80.0213101
